TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE;CATEGORY;QUICK_CODE;EXTERNAL_ID;COOKING_PLACE_TYPE;INCLUDED_IN_MENU
DISH;539;76;Смузи Кофейно-Банановый стандарт;порц;2,329;0;0;0;0;290;;609;;Основное место приготовления;1
DISH;520;76;Фраппе  кофейно Карамельный;порц;2,157;0;0;0;0;250;;585;;Основное место приготовления;1
DISH;246;40; Смузи шоколадный Рио;порц;2,354;0;0;0;0;250;;279;;Основное место приготовления;0
DISH;510;40;Смузи Кофейно-Банановый стандарт;порц;2,329;0;0;0;0;250;;574;;Основное место приготовления;0
DISH;244;40;Смузи Москва ( Ваниль-Клубника);порц;2,299;0;0;0;0;250;;277;;Основное место приготовления;0
DISH;245;40;Смузи Рим ( Ананас- Кокос);порц;2,295;0;0;0;0;250;;278;;Основное место приготовления;0
DISH;260;40;Фраппе Афины ( кофейный вкус);порц;2,157;0;0;0;0;250;;293;;Основное место приготовления;0
DISH;277;72;Согревающий жасмин Бабл ти;порц;2,053;0;0;0;0;290;;317;;Основное место приготовления;1
MODIFIER;161;30;Сироп Гренадин;порц;0,033;0;0;0;0;0;;182;;Основное место приготовления;0
MODIFIER;172;30;Сироп Личи;порц;0,033;0;0;0;0;0;;193;;Основное место приготовления;0
MODIFIER;36;9;сироп Гренадин;порц;0,026;0;0;0;0;0;;39;;;0
MODIFIER;112;9;сироп Личи;порц;0,026;0;0;0;0;0;;115;;;0
MODIFIER;117;9;сироп Черника;порц;0,026;0;0;0;0;0;;120;;;0
MODIFIER;176;30;Сироп Черника;порц;0,033;0;0;0;0;0;;197;;Основное место приготовления;0
MODIFIER;116;9;сироп Персик;порц;0,026;0;0;0;0;0;;119;;;0
MODIFIER;175;30;Сироп Персик;порц;0,033;0;0;0;0;0;;196;;Основное место приготовления;0
DISH;389;29;Бабл вафля с лопающими шариками;порц;3,117;0;0;0;0;150;;445;;Основное место приготовления;1
DISH;408;29;Бабл Вафля с сыром и ветчиной;порц;3,182;0;0;0;0;170;;465;;Основное место приготовления;1
DISH;402;29;Бабл вафля с яблоком и корицей;порц;3,147;0;0;0;0;150;;459;;Основное место приготовления;1
DISH;503;29;Бабл вафля со сливками;порц;3,152;0;0;0;0;150;;567;;Основное место приготовления;1
DISH;406;29;Бабл вафля сырная;порц;3,152;0;0;0;0;150;;463;;Основное место приготовления;1
GOODS;541;55;"Топпинг ""Шарики Лимон""";кг;1;0;0;0;0;400;;611;;;0
MODIFIER;542;31;Шарики лимон 40гр.;порц;0,04;0;0;0;0;0;;612;;Основное место приготовления;0
MODIFIER;543;64;Шарики лимон(для вафли) 30гр.;порц;0,03;0;0;0;0;0;;613;;Основное место приготовления;0
MODIFIER;544;10;Шарики лимон 30гр.;порц;0,03;0;0;0;0;0;;614;;Основное место приготовления;0
DISH;509;;Трубочка Для Коктейля;порц;1;0;0;0;0;10;;573;;Основное место приготовления;1
DISH;545;50;СИРОП Ванильный  к кофе 10 мл;порц;0,01;0;0;0;0;25;;615;;Основное место приготовления;1
DISH;312;50;СИРОП Карамель к кофе 10 мл;порц;0,01;0;0;0;0;25;;355;;Основное место приготовления;1
DISH;546;50;СИРОП Апельсин к кофе 10 мл;порц;0,013;0;0;0;0;15;;616;;Основное место приготовления;1
DISH;547;;Стакан для Кокотейля 0.5;порц;0,01;0;0;0;0;15;;617;;Основное место приготовления;1
DISH;548;39;Шарики лимон;порц;0,03;0;0;0;0;50;;618;;Основное место приготовления;1
DISH;445;39;Кокос манго;порц;0,03;0;0;0;0;50;;506;;Основное место приготовления;0
DISH;242;39;Кокос в зеленом яблоке ;порц;0,03;0;0;0;0;50;;274;;Основное место приготовления;0
DISH;258;39;Кокос в винограде;порц;0,03;0;0;0;0;50;;291;;Основное место приготовления;0
DISH;248;39;Кокос в  ананасе  ;порц;0,03;0;0;0;0;50;;281;;Основное место приготовления;0
GOODS;549;55;"Топпинг ""Шарики Малина""";кг;1;0;0;0;0;400;;619;;;0
